name,price,status,shipping,free_returns,items_sold
"Tomcat Mole Killer Grubs, 8 Pack",2099,Brand New,0,False,0
"NEW Raid Ant Baits Traps Defense Killer Colony, Child Resistant Indoor Pack of 4",565,Brand New,0,False,
ELIMINATOR ANT BAIT STATIONS 4 TRAPS STATIONS TOTAL LASTS TO 3 MONTHS!,299,Brand New,675,False,
Terro 300 Liquid Ant Killer Bait Stations Traps (Pack Of 6 Stations),1190,Brand New,0,False,
Terro 300 Liquid Ant Killer Bait Stations Traps (Pack Of 6 Stations),699,Brand New,0,False,90
New ListingTERRO 6 Pack Outdoor Indoor LIQUID ANT KILLER BAIT Tray Traps  T306 Pack Of 2,1800,Brand New,0,False,
Raid 76746 4 Pack House and Yard Child Resistant Ant Bait Traps,840,Brand New,0,False,309
"NEW Raid Ant Baits Traps Defense Killer Colony, Child Resistant Indoor Pack of 4",585,Brand New,0,False,71
TERRO T1812 Outdoor Liquid Ant Killer Bait Stakes - 8 Traps,1074,Brand New,0,False,
TERRO T300 PACK PACK 6 LIQUID ANT BAIT STATIONS ANT KILLER ANT TRAP READY TO USE,929,Brand New,0,False,
ELIMINATOR ANT BAIT STATIONS 4 TRAPS STATIONS TOTAL LASTS TO 3 MONTHS!,499,Brand New,287,False,
One pack of Eliminator ant bait stations 4 traps total  ,779,Brand New,0,False,
Glue Boards Caught Mouse Roach Ant Two Traps Pest Control Bulk Pack 72 Easy Use,3599,Brand New,0,False,
Terro Liquid Ant Killer Bait Stations Traps (Pack Of 6 Stations),1199,Brand New,0,False,
(4 Boxes) Raid Ant Baits Traps Defense Killer Colony 4 Traps/box Child Resistant,1700,Brand New,700,False,
"2 Pack- Tomcat Ant, Attractant-Based Glue Traps, 8 Placements Each",999,Brand New,0,False,
Lot of 3 Ortho Home Defense Liquid Ant Killer Bait Stations (18 Total Stations),2099,Brand New,0,False,0
Terro Liquid Ant Killer Bait Stations Indoor Traps Home Pest Control (2 Pack)✅,2299,Brand New,0,False,
Combat 24 Ant Bait Trapping Stations Insecticide ~ New  4  Packages,1999,Brand New,0,False,
Home Defense Liquid Ant Bait￼,1278,Brand New,0,False,
TERRO T300 PACK PACK 6 LIQUID ANT BAIT STATIONS ANT KILLER ANT TRAP READY TO USE,1025,Brand New,0,False,
NEW Raid Ant Baits Traps Defense Killer Colony 8 Count Child Resistant Indoor US,845,Brand New,0,False,
Real Kill Household Pest Glue Boards Non Toxic Ready To Use Trap (4 Count) NEW,795,Brand New,0,False,
(Lot Of 6) 8 Raid Ant Bait Traps. Child Proof & Kills Ants 3 Months = 48 Traps,2395,Brand New,0,False,
16 Raid Ant Baits House and Yard Child Resistant Traps 2- 8Boxes Kill The Colony,2995,Brand New,0,False,
Raid Ant Baits Traps Defense Killer Colony 8 Traps 0.24oz Child Resistant Indoor,999,Brand New,0,False,84
All Natural ROACH TRAP 5 pack Box by Killer Green GLUE TRAP Spider Cricket ANTS,899,Brand New,0,False,
TERRO T1812 Outdoor Liquid Ant Killer Bait Stakes - 8 Traps,1499,Open Box,0,False,
Eliminator ant bait stations 4 traps total  Lot Of 3,2099,Brand New,600,False,
TERRO Spider & Insect Trap - 4-Pack (5 Pack),1897,Brand New,0,False,8
COMBAT MAX Ant Trap Bait Station In & Outdoor Child Resistant .21oz 6 ct 55901,695,Brand New,660,False,
4 ~ Mixed Packs Raid Max Ant Baits Traps Defense Kills Colony Indoor Child Proof,1839,Brand New,0,False,0
ELIMINATOR ANT BAIT STATIONS 4 TRAPS STATIONS TOTAL LASTS TO 3 MONTHS!,499,Brand New,299,False,
"PIC AT3 Indoor/Outdoor Metal Ant Traps, 3 pk (Blue)",1059,Brand New,0,False,
4 Count in Box PIC Plastic Ant Killer Bait Stations Effective Ant Control Traps,855,Brand New,525,False,
6 Box TERRO T1812 Outdoor Liquid Ant Killer Bait Stakes 8 Traps & Stations LOT,3995,Brand New,0,False,
Lot of 2 - 8 Count Raid Ant Bait Traps Pest Control Child Resistant,299,Brand New,668,False,
Real Kill Household Pest Glue Boards Non Toxic Ready To Use Trap Indoor -4 Count,798,Brand New,0,False,
2 Pack Ant  Roach Insect Bait Traps Defense Colony Killer ,1296,Brand New,0,False,
"2 Raid Max Double Control Ant Bait & Killer Traps, 0.14 OZ, 8 Traps Kill Colony!",723,Brand New,560,False,
Raid 4 Baits total (1 box) House and Yard Child Resistant Ant Bait Traps,999,Brand New,0,False,
2 Boxes Raid Ant Bait Traps 8 Ct each Box  Child Proof & Kills Ants 3 Months,1199,Brand New,0,False,0
TERRO T1812 Outdoor Liquid Ant Killer Bait Stakes - 8 Traps 8 Stations ,1139,Brand New,0,False,0
NEW Raid Ant Defense Baits Traps Killer Colony 4 Count Child Resistant Indoor,810,Brand New,530,False,
LOT Of 6 boxes (8 count each) Raid Ant Baits House Yard - Child Resistant Traps,1499,Brand New,499,False,
Pic Ant killer Bait Trap includes 2 child resistant bait Trays Safe & Effective,639,Brand New,0,False,
NEW Raid Ant Baits Traps Defense Killer Colony 4 Count Child Resistant Indoor US,699,Brand New,0,False,
